voyageurs,chambres,lits,salles_de_bain,prix_total,nb_nuits,note,nb_avis,latitude,longitude,Cuisine,Wifi,Eau chaude,Équipements de cuisine de base,Draps,Vaisselle et couverts,Télévision,Cintres,Fer à repasser,Lave-linge,localisation_detail,type_logement_clean,prix_par_nuit,prix_par_voyageur
6.0,3.0,3.0,1.0,317.0,5,4.83,12.0,33.78896067524552,-7.151045596019628,1,1,1,1,0,1,1,1,1,1,Bouznika,Appartement,63.4,52.833333333333336
7.0,2.0,2.0,2.0,294.0,5,5.0,4.0,33.8104,-7.147,1,1,0,0,1,0,1,1,0,1,Bouznika,Appartement,58.8,42.0
5.0,2.0,2.0,1.0,208.0,5,4.82,50.0,33.7929,-7.1615,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement en résidence,41.6,41.6
6.0,2.0,3.0,1.0,128.0,5,4.81,99.0,33.806,-7.1528,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,25.6,21.333333333333332
6.0,3.0,3.0,1.0,179.0,5,4.93,43.0,33.77375,-7.15898,1,1,1,1,1,1,0,1,0,1,Bouznika,Appartement en résidence,35.8,29.833333333333332
5.0,2.0,2.0,2.0,439.0,5,4.86,161.0,33.8291,-7.1231,1,0,1,1,1,1,0,1,1,1,Ben Slimane,Appartement en résidence,87.8,87.8
5.0,2.0,6.0,1.0,194.0,5,4.89,9.0,33.7705,-7.2531,1,1,1,1,1,1,1,0,1,1,El Mansouria,Appartement,38.8,38.8
5.0,2.0,2.0,2.0,438.0,5,5.0,46.0,33.82751282011328,-7.123983186836814,1,1,1,1,1,1,1,0,1,1,Bouznika,Appartement,87.6,87.6
4.0,1.0,1.0,1.0,229.0,5,4.75,4.0,33.77261797721231,-7.159077048342109,1,0,1,1,1,0,0,0,0,0,Bouznika,Appartement,45.8,57.25
8.0,2.0,5.0,1.0,133.0,5,4.48,48.0,33.8053,-7.1548,1,1,1,1,1,1,0,0,0,1,Bouznika,Appartement en résidence,26.6,16.625
4.0,2.0,2.0,2.0,278.0,5,4.91,27.0,33.8257797984774,-7.121808589312913,1,1,1,0,0,0,1,0,0,1,Oud Cheerat Bouznika,Appartement,55.6,69.5
4.0,2.0,3.0,2.0,222.0,5,4.91,22.0,33.7456,-7.2976,1,1,1,0,1,0,1,1,1,1,El Mansouria,Appartement,44.4,55.5
5.0,2.0,3.0,1.0,131.0,5,4.8,10.0,33.7814,-7.1484,1,0,1,0,1,0,1,0,0,1,Bouznika,Appartement,26.2,26.2
6.0,2.0,2.0,2.0,472.0,5,5.0,23.0,33.8273,-7.1225,1,1,1,1,1,1,0,1,1,1,Bouznika,Appartement,94.4,78.66666666666667
5.0,2.0,3.0,1.0,235.0,5,4.88,41.0,33.7915,-7.1626,1,1,1,1,1,1,1,0,0,1,Bouznika,Appartement,47.0,47.0
8.0,2.0,3.0,2.0,641.0,5,4.73,45.0,33.825,-7.1327,1,1,1,0,0,0,1,1,0,1,Bouznika,Appartement,128.2,80.125
6.0,2.0,2.0,1.0,258.0,5,4.81,58.0,33.78679,-7.16363,1,1,1,1,1,1,0,1,1,1,Bouznika,Appartement,51.6,43.0
4.0,1.0,2.0,1.0,467.0,5,4.91,27.0,33.82533712178438,-7.120880204219,1,0,1,1,1,1,0,1,1,1,Ben Slimane,Appartement,93.4,116.75
4.0,2.0,3.0,1.0,146.0,5,4.91,27.0,33.77148313498157,-7.159173364937168,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,29.2,36.5
5.0,2.0,2.0,2.0,217.0,5,4.87,15.0,33.73849,-7.29099,1,1,1,1,1,1,1,1,0,1,El Mansouria,Appartement en résidence,43.4,43.4
4.0,1.0,1.0,1.0,147.0,5,4.91,27.0,33.77663771922096,-7.160738542298009,1,1,1,0,1,1,1,1,1,1,Bouznika,Appartement,29.4,36.75
6.0,2.0,3.0,2.0,197.0,5,4.79,53.0,33.8509,-7.0489,0,1,1,1,1,1,1,1,1,1,Skhirate,Appartement,39.4,32.833333333333336
5.0,2.0,2.0,2.0,300.0,5,4.94,53.0,33.71011,-7.36579,1,1,1,1,1,1,0,1,1,1,Mohammédia,Appartement,60.0,60.0
4.0,2.0,3.0,1.0,196.0,5,5.0,12.0,33.689,-7.3706,1,1,0,0,0,0,1,0,0,1,Mohammédia,Appartement,39.2,49.0
6.0,3.0,3.0,1.0,228.0,5,4.45,20.0,33.80814672354202,-7.14484009486049,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,45.6,38.0
6.0,2.0,3.0,2.0,196.0,5,4.85,41.0,33.85121222181214,-7.048000597854465,1,1,1,1,1,1,1,1,1,1,Skhirate,Appartement,39.2,32.666666666666664
4.0,2.0,3.0,1.0,242.0,5,4.98,64.0,33.69456,-7.37607,1,1,1,1,1,1,0,0,1,1,Mohammédia,Appartement en résidence,48.4,60.5
6.0,3.0,3.0,1.0,271.0,5,4.92,144.0,33.71054,-7.36681,1,1,1,1,1,1,0,1,0,1,Mohammédia,Appartement en résidence,54.2,45.166666666666664
4.0,1.0,2.0,1.0,242.0,5,5.0,7.0,33.7153,-7.3494,1,1,0,0,0,0,0,0,0,1,Mohammédia,Appartement,48.4,60.5
4.0,2.0,3.0,1.0,200.0,5,4.91,27.0,33.85212,-7.04655,1,1,1,1,1,1,1,1,1,1,Skhirate,Appartement,40.0,50.0
5.0,1.0,5.0,1.0,255.0,5,4.91,27.0,33.7079,-7.3974,1,1,1,1,1,1,1,1,1,1,Mohammédia,Appartement en résidence,51.0,51.0
4.0,2.0,3.0,1.0,188.0,5,4.57,14.0,33.85324541237628,-7.048833107170444,1,1,1,1,1,1,1,1,0,1,Skhirate,Appartement,37.6,47.0
6.0,3.0,3.0,1.0,305.0,5,5.0,4.0,33.7345,-7.3281,1,1,1,1,1,1,0,1,1,1,Mohammédia,Appartement en résidence,61.0,50.833333333333336
5.0,2.0,3.0,2.0,194.0,5,4.77,22.0,33.68934580749839,-7.368692028467997,1,1,1,1,1,1,1,1,1,1,Mohammédia,Appartement,38.8,38.8
4.0,1.0,3.0,1.0,339.0,5,5.0,9.0,33.7066,-7.3902,1,1,1,1,1,1,1,0,0,1,Mohammédia,Appartement,67.8,84.75
5.0,2.0,2.0,2.0,300.0,5,4.94,53.0,33.71011,-7.36579,1,1,1,1,1,1,0,1,1,1,Mohammédia,Appartement,60.0,60.0
4.0,2.0,3.0,1.0,270.0,5,4.78,9.0,33.8101,-7.1597,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,54.0,67.5
6.0,3.0,3.0,1.0,250.0,5,4.84,152.0,33.73367,-7.32441,1,1,1,1,0,1,0,1,0,0,Mohammédia,Appartement,50.0,41.666666666666664
4.0,2.0,3.0,2.0,126.0,5,4.91,27.0,33.7807,-7.1637,1,0,0,0,0,0,1,0,0,1,Bouznika,Appartement,25.2,31.5
4.0,1.0,1.0,1.0,141.0,5,4.72,61.0,33.8093,-7.162,1,0,0,0,0,0,1,0,0,1,Bouznika,Appartement,28.2,35.25
6.0,2.0,3.0,1.0,210.0,5,4.96,24.0,33.7246,-7.3361,1,1,1,1,1,1,1,1,1,1,Mohammédia,Appartement,42.0,35.0
7.0,2.0,4.0,1.0,124.0,5,4.67,3.0,33.7297,-7.3305,1,1,0,0,0,0,1,0,0,1,El Mansouria,Appartement,24.8,17.714285714285715
6.0,2.0,1.0,1.0,238.0,5,4.87,247.0,33.71719,-7.33406,1,1,1,1,1,1,0,1,1,1,Mohammédia,Appartement en résidence,47.6,39.666666666666664
5.0,2.0,3.0,2.0,194.0,5,4.77,22.0,33.68934580749839,-7.368692028467997,1,1,1,1,1,1,1,1,1,1,Mohammédia,Appartement,38.8,38.8
4.0,1.0,2.0,1.0,467.0,5,4.91,27.0,33.82533712178438,-7.120880204219,1,0,1,1,1,1,0,1,1,1,Ben Slimane,Appartement,93.4,116.75
6.0,3.0,3.0,1.0,347.0,5,5.0,13.0,33.9107,-6.9742,1,1,1,1,1,1,1,1,1,1,Témara,Appartement,69.4,57.833333333333336
6.0,3.0,3.0,1.0,305.0,5,5.0,4.0,33.7345,-7.3281,1,1,1,1,1,1,0,1,1,1,Mohammédia,Appartement en résidence,61.0,50.833333333333336
6.0,3.0,3.0,1.0,228.0,5,4.45,20.0,33.80814672354202,-7.14484009486049,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,45.6,38.0
4.0,2.0,3.0,1.0,200.0,5,4.91,27.0,33.85212,-7.04655,1,1,1,1,1,1,1,1,1,1,Skhirate,Appartement,40.0,50.0
6.0,3.0,3.0,1.0,267.0,5,4.95,76.0,33.8936,-6.95863,1,1,1,1,1,1,1,1,1,1,Témara,Appartement,53.4,44.5
7.0,2.0,4.0,1.0,124.0,5,4.67,3.0,33.7297,-7.3305,1,1,0,0,0,0,1,0,0,1,El Mansouria,Appartement,24.8,17.714285714285715
8.0,2.0,3.0,2.0,641.0,5,4.73,45.0,33.825,-7.1327,1,1,1,0,0,0,1,1,0,1,Bouznika,Appartement,128.2,80.125
4.0,2.0,4.0,2.0,278.0,5,4.8,10.0,33.86883,-7.0626,1,1,1,1,1,1,1,1,0,1,Skhirate,Appartement,55.6,69.5
4.0,1.0,1.0,1.0,301.0,5,5.0,3.0,33.7264,-7.3435,1,1,0,0,0,0,1,0,0,1,Mohammédia,Appartement,60.2,75.25
4.0,2.0,5.0,1.0,172.0,5,4.79,297.0,33.85228,-7.04809,1,1,1,1,1,1,0,1,1,1,Skhirate,Appartement en résidence,34.4,43.0
2.0,1.0,2.0,1.0,492.0,5,5.0,17.0,33.95897081600653,-6.884328681445723,1,1,1,1,1,1,1,1,1,1,Rabat,Maison d'hôtes,98.4,246.0
6.0,3.0,3.0,1.0,230.0,5,4.86,64.0,33.92223725582961,-6.909161874222018,1,1,1,1,1,1,1,1,1,1,Témara,Appartement,46.0,38.333333333333336
5.0,2.0,3.0,2.0,311.0,5,5.0,4.0,33.65207908304211,-7.470130301188407,1,1,1,1,0,1,1,1,1,1,Aïn Harrouda,Appartement,62.2,62.2
2.0,1.0,1.0,1.0,292.0,5,4.92,12.0,33.7067,-7.39,1,1,1,1,1,1,1,1,1,1,Mohammédia,Appartement,58.4,146.0
5.0,2.0,2.0,1.0,264.0,5,4.89,38.0,33.706,-7.3958,1,1,1,1,1,1,1,1,1,1,Mohammédia,Appartement,52.8,52.8
4.0,2.0,2.0,1.0,219.0,5,4.65,26.0,33.7336,-7.3278,1,1,1,1,1,1,1,1,0,0,Mohammédia,Appartement,43.8,54.75
4.0,2.0,3.0,1.0,270.0,5,4.78,9.0,33.8101,-7.1597,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,54.0,67.5
2.0,1.0,2.0,1.0,492.0,5,5.0,17.0,33.95897081600653,-6.884328681445723,1,1,1,1,1,1,1,1,1,1,Rabat,Maison d'hôtes,98.4,246.0
6.0,2.0,3.0,2.0,350.0,5,4.97,65.0,33.70647,-7.39429,1,1,1,0,1,1,0,1,1,1,Mohammédia,Appartement en résidence,70.0,58.333333333333336
5.0,2.0,3.0,2.0,376.0,5,4.97,30.0,33.9031,-6.9875,1,1,1,1,1,1,0,0,1,1,Témara,Appartement,75.2,75.2
4.0,2.0,5.0,1.0,172.0,5,4.79,297.0,33.85228,-7.04809,1,1,1,1,1,1,0,1,1,1,Skhirate,Appartement en résidence,34.4,43.0
6.0,3.0,3.0,1.0,315.0,5,4.65,17.0,33.9551,-6.8887,1,1,1,1,1,1,1,1,1,1,Rabat,Appartement en résidence,63.0,52.5
4.0,2.0,3.0,2.0,324.0,5,5.0,6.0,33.7397,-7.3122,1,1,1,1,1,1,1,1,1,1,El Mansouria,Appartement,64.8,81.0
5.0,2.0,2.0,1.0,271.0,5,5.0,8.0,33.702,-7.3963,1,1,1,1,1,1,1,1,1,1,Mohammédia,Appartement,54.2,54.2
4.0,1.0,3.0,1.0,237.0,5,4.95,19.0,33.718,-7.3346,1,1,1,1,1,1,1,0,1,1,Mohammédia,Appartement,47.4,59.25
4.0,1.0,1.0,1.0,249.0,5,4.77,13.0,33.6966,-7.3978,1,1,1,1,1,1,1,1,1,1,Mohammédia,Appartement,49.8,62.25
3.0,1.0,2.0,1.0,263.0,5,5.0,13.0,33.7266,-7.3401,1,1,1,1,1,1,1,1,1,1,Mohammédia,Appartement,52.6,87.66666666666667
6.0,3.0,3.0,1.0,410.0,5,4.87,110.0,33.70934,-7.36934,1,1,1,1,0,1,0,1,1,1,Mohammédia,Villa,82.0,68.33333333333333
3.0,1.0,1.0,1.0,254.0,5,5.0,17.0,33.94498706783548,-6.889509629453836,1,1,1,1,1,1,1,1,1,1,Rabat,Appartement,50.8,84.66666666666667
